root_626,root_888,fafb_match,malecns_match,cell_type,super_class,neurotransmitter_predicted,sexually_dimorphic,region
720575941437933074,720575941437933074,720575940637679421,17519,ANXXX120,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941477530986,720575941477530986,720575940616194443,17494,AN06B039,ascending,gaba,isomorphic,ventral_nerve_cord
720575941515678051,720575941515678051,720575940628991051,32651,ANXXX169,ascending,glutamate,dimorphic,ventral_nerve_cord
720575941566729460,720575941566729460,720575940620809599,14379,AN04B003,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941602114494,720575941575688457,720575940651932150,564865,DNge070,descending,gaba,isomorphic,central_brain
720575941603755193,720575941603755193,720575940641285877,51597,ANXXX264,ascending,gaba,isomorphic,ventral_nerve_cord
720575941412795759,720575941412795759,720575940621787371,23755,AN08B048,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941431747086,720575941431747086,720575940623426854,13622,DNg73,descending,acetylcholine,isomorphic,central_brain
720575941571394811,720575941571394811,720575940621522190,42199,AN03B039,ascending,gaba,isomorphic,ventral_nerve_cord
720575941430069641,720575941430069641,720575940620231590,13133,DNge088,descending,glutamate,isomorphic,central_brain
720575941516302329,720575941516302329,720575940615637334,514863,AN08B041,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941457973407,720575941457973407,720575940630798893,803318,AN06B051,ascending,gaba,isomorphic,ventral_nerve_cord
720575941585890694,720575941585890694,720575940626750723,525441,ANXXX169,ascending,glutamate,dimorphic,ventral_nerve_cord
720575941639763999,720575941639763999,720575940629521655,13700,DNg51,descending,acetylcholine,isomorphic,central_brain
720575941589794046,720575941589794046,720575940637671552,14364,AN10B019,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941671479207,720575941671479207,720575940623467664,56233,AN07B025,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941474543931,720575941474543931,720575940629185084,42148,AN17A031,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941510233616,720575941510233616,720575940609025092,15650,AN08B034,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941554109668,720575941554109668,720575940629521655,13700,DNg51,descending,acetylcholine,isomorphic,central_brain
720575941505242789,720575941505242789,720575940628881576,13268,DNg52,descending,gaba,isomorphic,central_brain
720575941540291789,720575941540291789,720575940617035449,153028,DNge074,descending,acetylcholine,isomorphic,central_brain
720575941658613784,720575941658613784,720575940630119532,13994,DNge172,descending,acetylcholine,isomorphic,central_brain
720575941438745179,720575941491973941,720575940623234567,17955,ANXXX120,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941536507162,720575941536507162,720575940608269102,156076,AN05B104,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941474552372,720575941474552372,720575940637013349,34683,AN09B037,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941520363511,720575941566087687,720575940614153937,557817,AN04B051,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941480917187,720575941480917187,720575940627234069,13852,DNge069,descending,glutamate,isomorphic,central_brain
720575941445166100,720575941445166100,720575940630016761,37942,AN08B049,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941531484619,720575941531484619,720575940611548273,28653,ANXXX136,ascending,serotonin,isomorphic,ventral_nerve_cord
720575941523327735,720575941523327735,720575940627881728,33283,AN06B044,ascending,gaba,isomorphic,ventral_nerve_cord
720575941414908561,720575941414908561,720575940622140680,81230,AN06B031,ascending,gaba,isomorphic,ventral_nerve_cord
720575941495998843,720575941495998843,720575940622037926,13229,DNg41,descending,glutamate,isomorphic,central_brain
720575941520167790,720575941520167790,720575940615307154,516204,AN12B019,ascending,gaba,isomorphic,ventral_nerve_cord
720575941612468710,720575941612468710,720575940615307154,20636,AN12B019,ascending,gaba,isomorphic,ventral_nerve_cord
720575941561409581,720575941561409581,720575940629420135,524156,ANXXX084,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941660948348,720575941660948348,720575940622996579,10923,DNg40,descending,glutamate,isomorphic,central_brain
720575941629872422,720575941629872422,720575940641276917,12788,DNae004,descending,acetylcholine,isomorphic,central_brain
720575941631437804,720575941631437804,720575940616943572,17094,AN09B023,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941563541351,720575941563541351,720575940625161530,515307,AN10B019,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941480490882,720575941480490882,720575940623781611,512751,DNge105,descending,acetylcholine,isomorphic,central_brain
720575941540968397,720575941540968397,720575940644561518,29334,AN09B018_a,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941530152907,720575941530152907,720575940635254117,10706,DNx01,sensory_descending,acetylcholine,isomorphic,central_brain
720575941474677825,720575941474677825,720575940618658974,14306,DNg89,descending,gaba,isomorphic,central_brain
720575941518795692,720575941518795692,720575940606603186,22840,ANXXX116,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941655750356,720575941655750356,720575940638558953,17724,AN19B049,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941732586539,720575941732586539,720575940609589443,15064,DNg05_a,descending,acetylcholine,isomorphic,central_brain
720575941595882609,720575941595882609,720575940623901415,12897,ANXXX120,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941609437613,720575941609437613,720575940634813536,10156,CvN6,motor,gaba,isomorphic,central_brain
720575941466318870,720575941466318870,720575940628083516,17448,ANXXX098,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941631642860,720575941631642860,720575940603591014,14239,DNae004,descending,acetylcholine,isomorphic,central_brain
720575941529824440,720575941529824440,720575940614185366,10578,DNpe034,descending,acetylcholine,dimorphic,central_brain
720575941637686389,720575941463736464,720575940627087463,106355,AN18B053,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941571863709,720575941571863709,720575940642798359,18568,AN27X003,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941390623382,720575941390623382,720575940644166048,10059,DNp20,descending,gaba,isomorphic,central_brain
720575941432255959,720575941432255959,720575940620859630,14936,DNge052,descending,gaba,isomorphic,central_brain
720575941515909635,720575941515909635,720575940623497653,22047,AN00A006,ascending,glutamate,dimorphic,ventral_nerve_cord
720575941530093496,720575941530093496,720575940628796780,15667,DNpe014,descending,acetylcholine,isomorphic,central_brain
720575941654021081,720575941654021081,720575940641285877,39026,AN05B046,ascending,gaba,isomorphic,ventral_nerve_cord
720575941590551592,720575941590551592,720575940633781217,15847,DNg107,descending,acetylcholine,isomorphic,central_brain
720575941585929350,720575941585929350,720575940634111351,62810,AN08B023,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941645213048,720575941645213048,720575940623014695,16245,DNpe033,descending,gaba,isomorphic,central_brain
720575941435430542,720575941435430542,720575940621336852,14141,DNg42,descending,glutamate,isomorphic,central_brain
720575941603880182,720575941603880182,720575940637396851,64873,AN09B035,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941440937301,720575941440937301,720575940622018565,37979,AN09B018_b,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941572719006,720575941572719006,720575940620582260,12325,DNp67,descending,acetylcholine,dimorphic,central_brain
720575941572673950,720575941455733555,720575940626333971,32556,AN07B035,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941545915836,720575941545915836,720575940631922489,516239,ANXXX255,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941508147746,720575941508147746,720575940650119289,10627,CvN5,motor,gaba,isomorphic,central_brain
720575941608483914,720575941608483914,720575940630689388,20891,ANXXX116,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941691021720,720575941550933821,720575940631283267,13096,DNge018,descending,acetylcholine,isomorphic,central_brain
720575941454882611,720575941454882611,720575940628539735,76985,AN19B022,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941566180199,720575941566180199,720575940625641402,11986,DNge018,descending,acetylcholine,isomorphic,central_brain
720575941667205553,720575941667205553,720575940623371920,41114,AN08B015,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941574790664,720575941574790664,720575940636308075,14537,DNge078,descending,acetylcholine,isomorphic,central_brain
720575941503769650,720575941503769650,720575940624967463,523773,DNg52,descending,gaba,isomorphic,central_brain
720575941564504832,720575941564504832,720575940628869648,555850,DNge077,descending,acetylcholine,isomorphic,central_brain
720575941612487142,720575941562502445,720575940623330192,29334,AN09B018_b,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941444962474,720575941444962474,720575940631283727,23685,ANXXX132,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941580119541,720575941442472539,720575940632519588,21730,AN23B010,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941553773959,720575941553773959,720575940629449027,25179,ANXXX132,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941614913555,720575941518222739,720575940629670723,103807,AN05B056,ascending,gaba,isomorphic,ventral_nerve_cord
720575941645080481,720575941645080481,720575940622933765,13826,DNge137,descending,acetylcholine,isomorphic,central_brain
720575941530295013,720575941530295013,720575940646443316,513056,DNge086,descending,gaba,isomorphic,central_brain
720575941628262969,720575941628262969,720575940632412333,13525,DNge096,descending,gaba,isomorphic,central_brain
720575941593505387,720575941593505387,720575940617249254,13045,DNge086,descending,gaba,isomorphic,central_brain
720575941472609632,720575941472609632,720575940631844300,41107,AN07B035,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941595910257,720575941595910257,720575940623013564,516514,AN09B032,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941666660595,720575941666660595,720575940619548799,14446,DNpe014,descending,acetylcholine,isomorphic,central_brain
720575941448026388,720575941448026388,720575940630107855,16750,AN17B016,ascending,gaba,isomorphic,ventral_nerve_cord
720575941417243164,720575941417243164,720575940609719250,292488,DNpe046,descending,acetylcholine,female-specific,central_brain
720575941479284960,720575941479284960,720575940627546750,10199,AN10B022,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941401783587,720575941401783587,720575940632680895,514484,ANXXX196,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941507062807,720575941507062807,720575940625353736,12635,DNg19,descending,acetylcholine,isomorphic,central_brain
720575941537784189,720575941537784189,720575940622019333,111432,AN09B040,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941495736448,720575941495736448,720575940626404429,518733,AN17B013,ascending,gaba,isomorphic,ventral_nerve_cord
720575941534129330,720575941534129330,720575940625101360,11239,DNx01,sensory_descending,acetylcholine,isomorphic,central_brain
720575941623162108,720575941623162108,720575940616833669,30624,AN08B022,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941480780451,720575941480780451,720575940619744496,15063,DNg50,descending,acetylcholine,isomorphic,central_brain
720575941507049239,720575941472839488,720575940654094241,13443,DNge096,descending,gaba,isomorphic,central_brain
720575941633187488,720575941633187488,720575940621523421,20983,AN06A015,ascending,gaba,isomorphic,ventral_nerve_cord
720575941519866840,720575941519866840,720575940605950496,515785,DNg76,descending,acetylcholine,isomorphic,central_brain
720575941529748427,720575941439600684,720575940623234567,521383,AN10B020,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941461205392,720575941415497617,720575940622072299,69759,AN11B008,ascending,gaba,isomorphic,ventral_nerve_cord
720575941612321382,720575941612321382,720575940637101413,19960,DNa07,descending,acetylcholine,isomorphic,central_brain
720575941688250998,720575941688250998,720575940631629160,15286,DNg47,descending,acetylcholine,isomorphic,central_brain
720575941394131094,720575941394131094,720575940605300140,11676,DNg26,descending,serotonin,isomorphic,central_brain
720575941523099127,720575941523099127,720575940627731176,14357,DNg05_a,descending,acetylcholine,isomorphic,central_brain
720575941567010930,720575941567010930,720575940620373469,26661,AN04B051,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941597533993,720575941597533993,720575940629941507,23361,ANXXX191,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941539792220,720575941539792220,720575940632898105,192306,CvN6,motor,gaba,isomorphic,central_brain
720575941624831228,720575941624831228,720575940613535554,16994,DNg17,descending,acetylcholine,isomorphic,central_brain
720575941471805963,720575941571021306,720575940617663093,13507,DNg51,descending,acetylcholine,isomorphic,central_brain
720575941555674340,720575941555674340,720575940636329579,13568,DNg41,descending,glutamate,isomorphic,central_brain
720575941535975617,720575941535975617,720575940618737954,24534,ANXXX049,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941491649511,720575941491649511,720575940615211195,19886,AN04B023,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941519459950,720575941519459950,720575940610487410,32608,AN19B044,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941573499464,720575941573499464,720575940615637334,41746,AN08B049,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941477889310,720575941477889310,720575940615942924,524083,AN12B019,ascending,gaba,isomorphic,ventral_nerve_cord
720575941480513154,720575941405745776,720575940617035153,19038,DNg106,descending,gaba,isomorphic,central_brain
720575941576254134,720575941576254134,720575940609407939,12364,DNge080,descending,acetylcholine,isomorphic,central_brain
720575941477099313,720575941477099313,720575940634862943,13278,DNge076,descending,gaba,isomorphic,central_brain
720575941620053375,720575941620053375,720575940618260500,18455,AN17B008,ascending,gaba,isomorphic,ventral_nerve_cord
720575941533543402,720575941533543402,720575940623368375,516294,AN10B022,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941436526815,720575941436526815,720575940603789228,35409,AN08B049,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941562512018,720575941562512018,720575940626148520,517915,AN09B033,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941515074883,720575941515074883,720575940617750070,529568,DNp39,descending,acetylcholine,isomorphic,central_brain
720575941526676045,720575941618370517,720575940620760692,12453,DNg50,descending,acetylcholine,isomorphic,central_brain
720575941594332711,720575941656315353,720575940639571931,64444,AN09B030,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941689898392,720575941439941164,720575940620742605,31180,AN09B036,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941565348103,720575941565348103,720575940636241264,17585,AN02A017,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941535266738,720575941511556112,720575940630300434,35621,AN17A062,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941518824620,720575941518824620,720575940628400650,519654,AN10B024,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941596602048,720575941487480838,720575940625573322,14332,DNae006,descending,acetylcholine,isomorphic,central_brain
720575941561868544,720575941561868544,720575940612267518,32592,AN10B027,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941427950676,720575941427950676,720575940615443805,24155,AN07B036,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941663701884,720575941663701884,720575940647560500,13803,DNg61,descending,acetylcholine,isomorphic,central_brain
720575941688806412,720575941688806412,720575940615030568,15454,DNg58,descending,acetylcholine,isomorphic,central_brain
720575941458782704,720575941458782704,720575940619679471,41598,ANXXX084,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941474117216,720575941689960054,720575940639264590,17554,ANXXX470,ascending,serotonin,isomorphic,ventral_nerve_cord
720575941585234910,720575941585234910,720575940610487410,29923,AN19B044,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941561334061,720575941561334061,720575940629946951,30231,ANXXX200,ascending,gaba,isomorphic,ventral_nerve_cord
720575941626447754,720575941626447754,720575940623871015,26566,AN05B044,ascending,gaba,isomorphic,ventral_nerve_cord
720575941573267784,720575941573267784,720575940615288276,515804,ANXXX191,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941515591523,720575941515591523,720575940629420135,524156,ANXXX084,ascending,acetylcholine,dimorphic,ventral_nerve_cord
720575941493947006,720575941493947006,720575940615108714,810937,DNg46,descending,glutamate,isomorphic,central_brain
720575941556420516,720575941556420516,720575940626728323,33710,AN10B024,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941690766555,720575941690766555,720575940621801456,23891,DNge120,descending,glutamate,isomorphic,central_brain
720575941605509054,720575941605509054,720575940637957446,17378,AN27X017,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941457365485,720575941516816739,720575940632974443,32085,AN09B018_a,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941430452750,720575941430452750,720575940628991051,82508,ANXXX169,ascending,glutamate,dimorphic,ventral_nerve_cord
720575941474054496,720575941474054496,720575940620294420,514525,AN01B011,ascending,gaba,isomorphic,ventral_nerve_cord
720575941652815857,720575941652815857,720575940611016910,16829,DNb03,descending,acetylcholine,isomorphic,central_brain
720575941507079703,720575941507079703,720575940626319235,15988,DNge064,descending,glutamate,isomorphic,central_brain
720575941603720633,720575941514399441,720575940633771745,13348,DNg20,descending,gaba,isomorphic,central_brain
720575941633911227,720575941633911227,720575940635464343,15072,DNpe004,descending,acetylcholine,isomorphic,central_brain
720575941562443362,720575941562443362,720575940623863614,22979,AN10B020,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941589256260,720575941589256260,720575940636241264,20022,AN02A017,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941457562694,720575941457562694,720575940628164612,10554,CvN3,motor,gaba,isomorphic,central_brain
720575941531735269,720575941531735269,720575940626179614,15201,DNg72,descending,glutamate,isomorphic,central_brain
720575941655664596,720575941655664596,720575940617440029,20170,AN17B013,ascending,gaba,isomorphic,ventral_nerve_cord
720575941454918707,720575941454918707,720575940627758135,559107,AN09B032,ascending,glutamate,isomorphic,ventral_nerve_cord
720575941436671711,720575941436671711,720575940615138397,172264,AN05B068,ascending,gaba,isomorphic,ventral_nerve_cord
720575941535097578,720575941535097578,720575940631632012,524190,DNge012,descending,acetylcholine,isomorphic,central_brain
720575941466964566,720575941484535482,720575940621947653,516680,DNg64,descending,gaba,isomorphic,central_brain
720575941516357881,720575941516357881,720575940627924227,33788,DNpe014,descending,acetylcholine,isomorphic,central_brain
720575941644268626,720575941596094757,720575940612648106,516215,DNg67,descending,acetylcholine,isomorphic,central_brain
720575941470254400,720575941470254400,720575940625090314,13509,DNa08,descending,acetylcholine,dimorphic,central_brain
720575941477326900,720575941477326900,720575940643837988,11198,DNg19,descending,acetylcholine,isomorphic,central_brain
720575941433654048,720575941433654048,720575940637966424,15483,DNge175,descending,acetylcholine,dimorphic,central_brain
720575941588160580,720575941588160580,720575940623863614,22617,AN10B022,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941451871559,720575941451871559,720575940659056001,284997,AN14B012,ascending,gaba,isomorphic,ventral_nerve_cord
720575941579749365,720575941579749365,720575940642875080,19981,AN06A015,ascending,gaba,isomorphic,ventral_nerve_cord
720575941575725928,720575941575725928,720575940627490459,199352,DNge130,descending,acetylcholine,isomorphic,central_brain
720575941450220637,720575941450220637,720575940612512146,934779,AN17A062,ascending,acetylcholine,isomorphic,ventral_nerve_cord
720575941505767970,720575941505767970,720575940637648485,15673,DNg20,descending,gaba,isomorphic,central_brain
720575941535852522,720575941535852522,720575940613749702,42681,AN06B039,ascending,gaba,isomorphic,ventral_nerve_cord
720575941574320905,720575941574320905,720575940615634589,516431,AN07B036,ascending,acetylcholine,isomorphic,ventral_nerve_cord
